# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
76.0,141.86123413238306,43.11892002188629,-1.5085290044262365,141.8528024868085,43.12082199824916,-0.000735588157112943,141.8592067247893,43.10461992481357,-2.281852320327744,141.8716931855514,43.13131814259616,-2.242999104793853,5.0,3925626.809252426,25.48722977707007,58.14716347308265
77.0,141.88023703966599,43.12965603190647,-3.7510831728541234,141.8716931855514,43.13131814259616,-2.242999104793853,141.8764179006312,43.11640597611983,-4.153061390305083,141.8926000328154,43.14124397700344,-4.857189023463434,5.0,3772881.265581931,25.455731678774583,58.15434690278097
78.0,141.87317213867746,43.144222471583966,-1.5206347870210568,141.8716931855514,43.13131814259616,-2.242999104793853,141.8826343023533,43.15452049892384,-2.318905256268408,141.8651889281277,43.14682877323192,-9.094947017729282e-13,5.0,3433010.321942988,24.31551611361522,58.61205457825888
79.0,141.85081192765816,43.10675193715584,-0.7608626361613159,141.8404265713767,43.09481388840479,9.094947017729282e-13,141.8592067247893,43.10461992481357,-2.281852320327744,141.8528024868085,43.12082199824916,-0.000735588157112943,5.0,3863628.052399499,25.439188342090656,58.16722040243282
80.0,141.86910593699062,43.117448014509854,-2.8926376051422267,141.8592067247893,43.10461992481357,-2.281852320327744,141.8764179006312,43.11640597611983,-4.153061390305083,141.8716931855514,43.13131814259616,-2.242999104793853,5.0,3284013.4129044735,25.487361213386034,58.139169750006594
81.0,141.87918499401,43.10985387113053,-5.10334107526766,141.8900158610245,43.11693749503208,-6.304286294221129,141.8764179006312,43.11640597611983,-4.153061390305083,141.8711212203743,43.09621814223969,-4.852675541276767,5.0,2854084.050215595,25.516987459277566,58.11322971654438
82.0,141.86891528193158,43.105748014391025,-3.7625297506365314,141.8711212203743,43.09621814223969,-4.852675541276767,141.8764179006312,43.11640597611983,-4.153061390305083,141.8592067247893,43.10461992481357,-2.281852320327744,5.0,2997817.198669985,25.50134103245135,58.1499796361508
83.0,141.85577476118132,43.06676939350061,-4.143921564980398,141.8497488367238,43.07676781714409,-2.574269100337915,141.8503172269393,43.05312781601982,-4.013105552706293,141.8672582198809,43.07041254733793,-5.844390041896986,5.0,4320839.476605991,18.898154434245814,57.669370466076735
84.0,141.8627094256597,43.081132835573904,-4.423778227837222,141.8672582198809,43.07041254733793,-5.844390041896986,141.8711212203743,43.09621814223969,-4.852675541276767,141.8497488367238,43.07676781714409,-2.574269100337915,5.0,4992814.263235883,21.014605647156372,57.66949271225724
85.0,141.87738787653902,43.050722966392065,-8.604549550437698,141.8843473560333,43.06689836842026,-8.88009869547568,141.864039358676,43.04377476816079,-6.828626027718201,141.8837769149077,43.04149576259514,-10.10492392811921,5.0,5122749.605965027,17.941372887845183,56.5448782229928
